Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
"Morphological and genetic divergence between Agave inaequidens, A. cupreata and the domesticated A. hookeri. Analysis of their evolutionary relationships","Figueredo-Urbina, Carmen J.; Casas, Alejandro; Torres-Garcia, Ignacio",,,,PLOS ONE,NOV 8 2017,2017,12,11,,,,,,e0187260,10.1371/journal.pone.0187260,,,2,1,0,0,0,0,2,0
An improved protocol for flow cytometry analysis of dragon fruit (Hylocereus spp.)-Species with a high polysaccharide content,"Li, Daqing; Cisneros, Aroldo; Tel-Zur, Noemi",,,,SCIENTIA HORTICULTURAE,JUN 16 2017,2017,220,,,,,130,133,,10.1016/j.scienta.2017.03.033,,,2,1,0,0,0,0,2,0
Taxonomic and cytogenetic studies in Opuntia ser. Armatae (Cactaceae),"Las Penas, M. Laura; Oakley, Luis; Moreno, Natalia C.; Bernardello, Gabriel",,,,BOTANY,FEB 2017,2017,95,2,,,,101,120,,10.1139/cjb-2016-0048,,,2,1,0,0,0,0,2,0
Advances in strawberry breeding at the University of Florida,"Whitaker, V. M.; Lee, S.; Osorio, L. F.; Verma, S.; Roach, J. A.; Mangandi, J.; Noh, Y. -H.; Gezan, S.; Peres, N.",,,"Desjardins, Y",VIII INTERNATIONAL STRAWBERRY SYMPOSIUM,2017,2017,1156,,,,,1,6,,10.17660/ActaHortic.2017.1156.1,8th International Strawberry Symposium,"AUG 13, 2016",2,1,0,0,0,1,0,1
"Spatial distribution, size structure and reproduction of Astrophytum ornatum (Cactaceae)","Zepeda, Veronica; Golubov, Jordan; Mandujano, Maria C.",,,,ACTA BOTANICA MEXICANA,2017,2017,119,,,,,35,49,,10.21829/abm119.2017.1230,,,2,1,0,0,0,0,2,0
Comparative morphology and anatomy of Backebergia militaris (Echinocereeae-Cactaceae) cephalium,"Vazquez-Sanchez, Monserrat; Terrazas, Teresa; Arias, Salvador",,,,PLANT SYSTEMATICS AND EVOLUTION,MAR 2016,2016,302,3,,,,245,256,,10.1007/s00606-015-1256-4,,,2,0.67,0,0,1,1,0,0
"Floral morphometry, anthesis, and pollination success of Mammillaria pectinifera (Cactaceae), a rare and threatened endemic species of Central Mexico","Valverde, Pedro Luis; Jimenez-Sierra, Cecilia; Lopez-Ortega, Gerardo; Zavala-Hurtado, Jose Alejandro; Rivas-Arancibia, Sombra; Rendon-Aguilar, Beatriz; Perez-Hernandez, Marco Aurelio; Cornejo-Romero, Amelia; Carrillo-Ruiz, Hortensia",,,,JOURNAL OF ARID ENVIRONMENTS,MAY 2015,2015,116,,,,,29,32,,10.1016/j.jaridenv.2015.01.016,,,2,0.5,0,0,0,2,0,0
The influence of herbivory and weather on the vital rates of two closely related cactus species,"Sauby, Kristen E.; Kilmer, John; Christman, Mary C.; Holt, Robert D.; Marsico, Travis D.",,,,ECOLOGY AND EVOLUTION,SEP 2017,2017,7,17,,,,6996,7009,,10.1002/ece3.3232,,,1,0.5,0,0,0,0,1,0
"Biodiversity conservation in an anthropized landscape: Trees, not patch size drive, bird community composition in a low-input agro-ecosystem","Mellink, Eric; Riojas-Lopez, Monica E.; Cardenas-Garcia, Melinda",,,,PLOS ONE,JUL 7 2017,2017,12,7,,,,,,e0179438,10.1371/journal.pone.0179438,,,1,0.5,0,0,0,0,1,0
"Reproductive phenology of Stenocereus thurberi (Cactaceae) in a transitional region of northern Sinaloa, Mexico","Salomon-Montijo, Bladimir; Reyes-Olivas, Alvaro; Sanchez-Soto, Bardo H.",,,,GAYANA BOTANICA,2016,2016,73,2,,,,381,390,,,,,1,0.33,0,0,0,0,1,0
