ID,title,authors,source.title,publication.year,exclude,category,detailed.reason,notes,,
24,"Floral morphometry, anthesis, and pollination success of Mammillaria pectinifera (Cactaceae), a rare and threatened endemic species of Central Mexico","Valverde, Pedro Luis; Jimenez-Sierra, Cecilia; Lopez-Ortega, Gerardo; Zavala-Hurtado, Jose Alejandro; Rivas-Arancibia, Sombra; Rendon-Aguilar, Beatriz; Perez-Hernandez, Marco Aurelio; Cornejo-Romero, Amelia; Carrillo-Ruiz, Hortensia",JOURNAL OF ARID ENVIRONMENTS,2015,y,full text,does not compare across seed or fruit metrics,,,
25,The influence of herbivory and weather on the vital rates of two closely related cactus species,"Sauby, Kristen E.; Kilmer, John; Christman, Mary C.; Holt, Robert D.; Marsico, Travis D.",ECOLOGY AND EVOLUTION,2017,y,full text,does not report values of interest,,,
26,"Biodiversity conservation in an anthropized landscape: Trees, not patch size drive, bird community composition in a low-input agro-ecosystem","Mellink, Eric; Riojas-Lopez, Monica E.; Cardenas-Garcia, Melinda",PLOS ONE,2017,y,title,not cacti,,,
27,"Reproductive phenology of Stenocereus thurberi (Cactaceae) in a transitional region of northern Sinaloa, Mexico","Salomon-Montijo, Bladimir; Reyes-Olivas, Alvaro; Sanchez-Soto, Bardo H.",GAYANA BOTANICA,2016,y,full text,not english,need english,,
28,"Flowering and fruiting phenology, and physico-chemical characteristics of 2-year-old plants of six species of Opuntia from eight regions of Morocco","El Kharrassi, Youssef; Mazri, Mouaad Amine; Mabrouk, Achraf; Nasser, Boubker; El Mzouri, El Houssine",JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,2015,y,full text,does not compare across seed or fruit metrics,,,
29,Effects of natural and artificial selection on survival of columnar cacti seedlings: the role of adaptation to xeric and mesic environments,"Guillen, Susana; Terrazas, Teresa; Casas, Alejandro",ECOLOGY AND EVOLUTION,2015,y,abstract,not allocation,check citations for allocation studies,,
30,Pollen Morphology and Reproductive Performances in Opuntia ficus-indica (L.) Mill.,"ElBehi, A. W.; Orlandi, F.; Bonofiglio, T.; Romano, B.; Fornaciari, M.; Inglese, P.; Sortino, G.; Liguori, G.",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,y,abstract,not allocation,,,
31,Gibberellic Acid Application and Its Incidence on In Vitro Somatic Embryogenesis and Fruit Parthenocarpy in an Apomictic Cactus Pear (Opuntia ficus-indica (L.) Mill.) Clone,"Kaaniche-Elloumi, N.; Jedidi, E.; Mahmoud, K. B.; Chakroun, A.; Jemmali, A.",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,y,title,not allocation,,,
32,"PRE-DISPERSAL SEED PREDATION OF THE COLUMNAR CACTUS (NEOBUXBAUMIA TETETZO, CACTACEAE) BY BIRDS IN CENTRAL MEXICO","Maria Contreras-Gonzalez, Ana; del Coro Arizmendi, Maria",ORNITOLOGIA NEOTROPICAL,2014,y,title,not allocation,,,
33,Irrigation options to save water while enhancing export-size fruit and storability of Smooth Red' cactus pear,"Zegbe, Jorge A.; Serna-Perez, Alfonso",JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,2018,y,abstract,not allocation,,,
34,Microencapsulation of Purple Cactus Pear Fruit (Opuntia ficus indica) Extract by the Combined Method W/O/W Double Emulsion-Spray Drying and Conventional Spray Drying: A Comparative Study,"Toledo-Madrid, Keren; Gallardo-Velazquez, Tzayhri; Osorio-Revilla, Guillermo",PROCESSES,2018,y,title,not allocation,,,
35,Encapsulation of cactus (Opuntia megacantha) betaxanthins by ionic gelation and spray drying: A comparative study,"Carolina Otalora, Maria; Carriazo, Jose G.; Osorio, Coralia; Azucena Nazareno, Monica",FOOD RESEARCH INTERNATIONAL,2018,y,title,not allocation,,,
36,Demographic processes and anthropogenic threats of lithophytic cacti in eastern Brazil,"Hughes, Frederic M.; Figueira, Jose E. C.; Jacobi, Claudia M.; Borba, Eduardo L.",BRAZILIAN JOURNAL OF BOTANY,2018,y,title,not allocation,,,
37,Reproductive ecology of Agave colorata: the importance of nectar-feeding bats and the germination consequences of self-pollination,"Berenice Borbon-Palomares, Dalia; Laborin-Sivirian, Flora; Tinoco-Ojanguren, Clara; Cristina Penalba, M.; Reyes-Ortega, Ivonne; Molina-Freaner, Francisco",PLANT ECOLOGY,2018,y,abstract,not allocation,,,
38,Towards Drylands Biorefineries: Valorisation of Forage Opuntia for the Production of Edible Coatings,"Iris Najera-Garcia, Alba; Eduardo Lopez-Hernandez, Raul; Alexander Lucho-Constantino, Carlos; Vazquez-Rodriguez, Gabriela A.",SUSTAINABILITY,2018,y,abstract,not cacti,,,
39,Effect of flower orientation on the male and female traits of Myrtillocactus geometrizans (Cactaceae),"Aguilar-Garcia, S. A.; Figueroa-Castro, D. M.; Valverde, P. L.; Vite, F.",PLANT BIOLOGY,2018,y,title,not fruit,,,
40,"Differential germination associated with facultative vivipary in Stenocereus thurberi (Cactaceae): climatic correlations in marginal populations in Sinaloa, Mexico","Casillas-Alvarez, Pedro; Reyes-Olivas, Alvaro; Heleodoro Sanchez-Soto, Bardo; Garcia-Moya, Edmundo; Antonio Lugo-Garcia, Gabriel; Marcos Soto-Hernandez, Ramon",ACTA BOTANICA MEXICANA,2018,y,title,not allocation,,,
41,"Physical and physicochemical characteristics, bioactive compounds and antioxidant activity of xiquexique (Pilosocereus gounellei (A. Weber ex K. Schum.)) fruit","da Silva, Antonia Almeida; Dantas, Renato Lima; Veras, Claudiana dos Santos; Alves, Ricardo Elesbao; Silva, Silvanda de Melo",SEMINA-CIENCIAS AGRARIAS,2018,y,full text,does not compare across seed or fruit metrics,,,
42,Fruit production from Opuntia ficus-indica ecotypes in comparison to commercial Italian clones,"Gaspar Reis, Carlos Manuel; Gazarini, Luiz Carlos; Ribeiro, Maria Margarida",HORTICULTURAL SCIENCE,2018,y,full text,does not compare across seed or fruit metrics,,,
43,Morphological plasticity of an endemic widespread columnar cactus and its congener,"Arroyo-Cosultchi, Gabriel; Arias, Salvador; Lopez-Mata, Lauro; Terrazas, Teresa",BRAZILIAN JOURNAL OF BOTANY,2017,y,full text,does not compare across seed or fruit metrics,,,
44,Improvement of lactic acid bacteria viability in acid conditions employing agroindustrial co-products as prebiotic on alginate ionotropic gel matrix co-encapsulation,"Serrano-Casas, Victor; Lourdes Perez-Chabela, M.; Cortes-Barberena, Edith; Totosaus, Afonso",JOURNAL OF FUNCTIONAL FOODS,2017,y,title,not fruit,,,
45,Ecosystem-scale impacts of non-timber forest product harvesting: effects on soil nutrients,"Ruwanza, Sheunesu; Shackleton, Charlie M.",JOURNAL OF APPLIED ECOLOGY,2017,y,abstract,not allocation,,,
46,Effects of nitrogen and phosphorus fertilization on fruit yield and quality of cactus pear Opuntia ficus-indica (L.) Mill,"Arba, M.; Falisse, A.; Choukr-Allah, R.; Sindic, M.",FRUITS,2017,y,full text,does not compare across seed or fruit metrics,,,
47,"Shade, reproductive effort and growth of the endangered native cactus, Opuntia humifusa Raf. in Point Pelee National Park, Canada","Drezner, Taly Dawn",JOURNAL OF THE TORREY BOTANICAL SOCIETY,2017,y,full text,does not compare across seed or fruit metrics,,,
48,"Fruit number and weight depend on length, width and thickness of fruiting cladode in Opuntia albicarpa Scheinvar variety 'Cristalina'","Blanco-Macias, Fidel; de Jesus Mendez-Gallegos, Santiago; Magallanes-Quintanar, Rafael; Marquez-Madrid, Miguel; Villarreal-Guerrero, Federico; Andres Lopez-Santiago, Marco; David Valdez-Cepeda, Ricardo",JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2017,y,full text,does not report values of interest,,,
49,Protective role of epiphytic fluorescent Pseudomonas on natural postharvest decay of tomato at room temperature,"Habiba, Shah; Noreen, Rubina; Ali, Syed Abid; Hasan, Khwaja Ali; Ara, Jehan; Sultana, Viqar; Ehteshamul-Haque, Syed",JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,2017,y,title,not cacti,,,
50,REPEATABILITY OF FRUIT QUALITY TRAITSOF CACTUS PEAR,"Nunes, Valtania Xavier; Nunes, Nubia Xavier; De Oliveira, Carlinne Guimaraes; Soares Sobral, Raquel Rodrigues; Magalhaes Dos Santos, Carlos Eduardo",REVISTA BRASILEIRA DE FRUTICULTURA,2017,y,title,not allocation,,,
51,Morphological variation in Opuntia jaliscana (Cactaceae),"Noel Lopez-Borja, Edgar; de Lourdes Romo-Campos, Rosa; Julieta Arreola-Nava, Hilda; Munoz Urias, Alejandro; Loza-Cornejo, Sofia",ANALES DEL JARDIN BOTANICO DE MADRID,2017,y,full text,not english,,,
52,Social networks in the Little Scrub Island ground lizard (Ameiva corax),"Eifler, Douglas; Eifler, Maria; Malela, Keoleboge; Childers, Jackie",JOURNAL OF ETHOLOGY,2016,y,title,not cacti,,,
53,"In an arid urban matrix, fragment size predicts access to frugivory and rain necessary for plant population persistence","Ness, J. H.; Pfeffer, M.; Stark, J.; Guest, A.; Combs, L. J.; Nathan, E.",ECOSPHERE,2016,y,title,not allocation,,,
54,"Chemical and physical characterization of Opuntia spp. seeds grown in Hidalgo State, Mexico","Prieto-Garcia, Francisco; Prieto Mendez, Judith; Acevedo Sandoval, Otilio A.; Canales Flores, Roberto A.; Marmolejo Santillan, Yolanda",CIENCIA E INVESTIGACION AGRARIA,2016,y,full text,does not report values of interest,,,
55,"The importance of native bees, especially cactus bees (Diadasia spp) in the pollination of cactus pears","Felker, Peter; Bunch, Ron",JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2016,y,title,not allocation,,,
56,Genetic divergence between Mexican Opuntia accessions inferred by polymerase chain reaction-restriction fragment length polymorphism analysis,"Samah, S.; Valadez-Moctezuma, E.; Pelaez-Luna, K. S.; Morales-Manzano, S.; Meza-Carrera, P.; Cid-Contreras, R. C.",GENETICS AND MOLECULAR RESEARCH,2016,y,title,not fruit,,,
